xqcow,xQcOW,615590
e3,E3,613624
ibai,ibai,567232
auronplay,auronplay,424073
asmongold,Asmongold,391385
gaules,Gaules,359433
georgenotfound,GeorgeNotFound,349762
opera_gx,Opera_GX,346198
weplaydota,WePlayDota,342825
shroud,shroud,342649
nickmercs,NICKMERCS,337442
mizkif,Mizkif,332839
thegrefg,TheGrefg,320327
ranboolive,RanbooLive,319371
adinross,AdinRoss,317048
amouranth,Amouranth,307916
sodapoppin,sodapoppin,302146
rubius,Rubius,299007
loltyler1,loltyler1,298737
esl_csgo,ESL_CSGO,292421
zerator,ZeratoR,280485
loud_coringa,loud_coringa,269451
lcs,LCS,269300
tubbo,Tubbo,261337
juansguarnizo,juansguarnizo,251124
summit1g,summit1g,247508
tfue,Tfue,243706
dota2mc_ru,dota2mc_ru,242356
faker,Faker,239406
hasanabi,HasanAbi,228690
alanzoka,alanzoka,219579
tsm_imperialhal,TSM_ImperialHal,218662
dreamwastaken,dreamwastaken,212877
sykkuno,Sykkuno,210989
lirik,LIRIK,201208
quackity,Quackity,187277
jackmanifoldtv,JackManifoldTV,184245
aydan,Aydan,183095
weplaydotab,WePlayDotaB,181046
robleis,Robleis,177052
shahzam,ShahZaM,176469
playapex,playapex,173560
lec,LEC,166307
nmplol,Nmplol,166274
alexelcapo,alexelcapo,163955
buddha,buddha,160979
roshtein,ROSHTEIN,155691
trainwreckstv,Trainwreckstv,154197
esfandtv,EsfandTV,152621
sinatraa,sinatraa,151086
rocketleague,RocketLeague,143703
domingo,Domingo,143629
jelty,Jelty,141388
hiko,Hiko,139884
elmariana,ElMariana,134399
jokerdtv,JokerdTV,133978
trymacs,Trymacs,133043
xbox,Xbox,132117
cblol,CBLOL,127469
dota2mc_ru2,dota2mc_ru2,126729
aceu,aceu,125508
coscu,coscu,122938
papaplatte,Papaplatte,121605
coolifegame,CooLifeGame,118866
pokimane,pokimane,117137
castro_1021,Castro_1021,115577
cohhcarnage,CohhCarnage,115300
elraenn,Elraenn,114282
iitztimmy,iiTzTimmy,114107
tubbolive,TubboLIVE,113736
buster,buster,112358
