source,target,weight
ibai,thegrefg,739781
ibai,rubius,594917
ibai,illojuan,547455
ibai,juansguarnizo,408379
ibai,lolitofdez,352263
ibai,luzu,191356
ibai,robleis,134452
ibai,knekro,133801
ibai,lvpes,126945
ibai,werlyb,121991
ibai,reborn_live,110883
ibai,xxxthefocusxxx,102664
ibai,papigavitv,86663
ibai,tvander,84348
ibai,karchez,82312
ibai,spursito,77490
ibai,menostrece,76580
ibai,mixwell,76268
ibai,jaggerprincesa,70865
ibai,olliegamerz,70414
ibai,mayichi,68548
ibai,reventxz,67285
ibai,lakshartnia,65013
ibai,zilverk,61013
ibai,rapturrs,60056
ibai,polispol1,59261
ibai,staryuuki,54395
ibai,missasinfonia,52441
ibai,rubenmartinweb,51297
ibai,nilojeda,49769
ibai,twitchrivals_es,46099
ibai,th3antonio,44956
ibai,vicens,44385
ibai,zormanworld,43809
ibai,zeling,43557
ibai,nissaxter,43402
ibai,lec,40219
ibai,masi_rodriguez,39176
ibai,litkillah,38891
ibai,ricoy23,37220
ibai,kolderiu,37018
ibai,nimuvt,35583
ibai,komanche,33966
ibai,sirolopez56,33957
ibai,littleragergirl,33825
ibai,jujalag,33717
ibai,unicornio,33207
ibai,llobeti4,32850
ibai,maxmears,31066
ibai,jelty,30262
ibai,keznit1,30224
ibai,perxitaa,30099
ibai,lcs,30005
ibai,silithur,29993
ibai,markilokurasy,29037
ibai,papomc,28330
ibai,lvpes2,28228
ibai,shadoune666,28126
ibai,rivers_gg,28095
ibai,xqcow,27707
ibai,surgicalgoblin,27171
ibai,mitchmancasting,26998
ibai,rickyedit,25425
ibai,mym_alkapone,24203
ibai,imantado,24196
ibai,lck,23736
ibai,withzack,23718
ibai,mangel,23681
ibai,okyyy,23545
ibai,ulises,22791
ibai,sirmaza,22115
ibai,loltyler1,22072
ibai,snoodyboo,21673
ibai,kidi,21570
ibai,shroud,21165
ibai,skain,20234
ibai,isvolcano,20051
ibai,nosoykoko,19429
ibai,starwraith,19345
ibai,kam1esports,19226
ibai,simpsonmania01,19174
ibai,nakoo_fn,17818
ibai,pompeyo4,17721
ibai,rioboo,17304
ibai,squadkoi,17209
ibai,soyfelipez360,17110
ibai,zok3r,16874
ibai,rocketleague,16833
ibai,manutegaming,16769
ibai,rekkles,16716
ibai,kikorivera,16107
ibai,shahzam,15805
ibai,ipandarina,15639
ibai,posty,15496
ibai,lucasrojo,15412
ibai,ninja,15273
ibai,valorant,15194
ibai,robertocein,15132
ibai,sergiofferra,14919
ibai,uri_rp,14764
ibai,pimpeano,14403
ibai,kxmi,14334
ibai,luken,14331
ibai,xguiry,14078
