id,label,size
ibai,ibai,1688908
auronplay,auronplay,1491244
thegrefg,TheGrefg,1471163
elxokas,elxokas,1398663
rubius,Rubius,1259224
xqcow,xQcOW,1232427
juansguarnizo,juansguarnizo,1170374
n3koglai,n3koglai,879300
illojuan,IlloJuan,879265
shroud,shroud,852806
amouranth,Amouranth,773324
loltyler1,loltyler1,742323
casimito,casimito,712679
lec,LEC,667027
elspreen,ElSpreen,649439
ninja,Ninja,628091
lcs,LCS,611670
gamesdonequick,GamesDoneQuick,603999
lolitofdez,LOLITOFDEZ,584582
pokimane,pokimane,539733
summit1g,summit1g,527774
montanablack88,MontanaBlack88,522436
nickmercs,NICKMERCS,510922
trymacs,Trymacs,510326
mizkif,Mizkif,510058
trainwreckstv,Trainwreckstv,509662
aceu,aceu,482473
adinross,AdinRoss,482227
elmariana,ElMariana,481251
clix,Clix,474989
robleis,Robleis,466712
lck,LCK,463450
gotaga,Gotaga,459222
shahzam,ShahZaM,452524
lck_korea,LCK_Korea,447266
gaules,Gaules,441770
iitztimmy,iiTzTimmy,433356
disguisedtoast,DisguisedToast,432906
hasanabi,HasanAbi,430542
lvndmark,LVNDMARK,427868
tarik,tarik,427852
castro_1021,Castro_1021,414989
sodapoppin,sodapoppin,395327
tsm_imperialhal,TSM_ImperialHal,389993
rocketleague,RocketLeague,386831
loud_coringa,loud_coringa,382939
eliasn97,eliasn97,375448
blastpremier,BLASTPremier,371707
arigameplays,AriGameplays,366878
moistcr1tikal,moistcr1tikal,366277
alexby11,Alexby11,365546
bystaxx,bysTaXx,356241
kamet0,Kamet0,355769
sykkuno,Sykkuno,348906
doublelift,Doublelift,347204
valorant,VALORANT,342134
zanoxvii,ZanoXVII,330916
sinatraa,sinatraa,330684
tfue,Tfue,322028
alanzoka,alanzoka,316121
s1mple,s1mple,314634
luzu,Luzu,311212
faker,Faker,307749
buster,buster,307650
nickeh30,NickEh30,301022
otplol_,otplol_,294884
mongraal,Mongraal,292284
tenz,TenZ,286274
elraenn,Elraenn,285594
imkaicenat,ImKaiCenat,285181
sypherpk,SypherPK,284493
elded,elded,283004
lirik,LIRIK,282981
wtcn,wtcN,282533
deepins02,deepins02,281728
esfandtv,EsfandTV,277039
zackrawrr,zackrawrr,274453
fps_shaka,fps_shaka,274207
wilbursoot,WilburSoot,273159
philza,Philza,264348
dota2ruhub,Dota2RuHub,264183
fextralife,Fextralife,263022
aroyitt,aroyitt,261917
lpl,LPL,261175
missasinfonia,MissaSinfonia,257397
axozer,aXoZer,257175
agentemaxo,AgenteMaxo,255427
squeezie,Squeezie,250950
shivfps,ShivFPS,250144
aydan,Aydan,248023
sardoche,Sardoche,245255
pestily,Pestily,241817
kato_junichi0817,加藤純一です,241479
stylishnoob4,stylishnoob4,240030
domingo,Domingo,239383
weplaycsgo_ru,WePlayCSGO_ru,234148
iamcristinini,IamCristinini,229732
gosu,Gosu,228314
sweetdreams,sweetdreams,226635
topsonous,Topsonous,226360
roshtein,ROSHTEIN,224527
fnxlntc,fnxLNTC,223212
buddha,buddha,223185
cblol,CBLOL,221621
k3soju,k3soju,220863
evelone192,Evelone192,219656
jojohf,JojoHF,219415
karlnetwork,karlnetwork,218776
yoda,YoDa,218203
wardell,WARDELL,217134
jlamaru,JLAmaru,215679
quackity,Quackity,214717
symfuhny,Symfuhny,214527
anthonyz,AnthonyZ,213012
cohhcarnage,CohhCarnage,212485
dota2mc_ru,dota2mc_ru,208629
dreamleague,DreamLeague,208626
asunaweeb,AsunaWEEB,208320
reborn_live,Reborn_Live,208210
ranboolive,RanbooLive,207735
sommerset,Sommerset,204432
carreraaa,Carreraaa,203983
tommyinnit,tommyinnit,201168
sick_cs,SicK_cs,200001
gabepeixe,gabepeixe,199701
nmplol,Nmplol,199027
biyin_,biyin_,198545
swagg,Swagg,198376
lvpes,LVPes,197877
rekkles,Rekkles,196984
ratirl,RATIRL,194733
willerz,WillerZ,194344
knekro,knekro,192566
paradeev1ch,paradeev1ch,192092
ampeterby7,Ampeterby7,192059
mrsavage,MrSavage,191566
amar,Amar,190203
noway4u_sir,NoWay4u_Sir,189702
alexelcapo,alexelcapo,188530
jankos,Jankos,187511
gafallen,gafallen,187233
elisabetetv,ElisabeteTV,186309
ponce,Ponce,185680
tumblurr,Tumblurr,184314
jltomy,JLTomy,183353
zilverk,ZilverK,180766
chap_gg,Chap_GG,180706
prodval,prodval,179288
zerator,ZeratoR,178733
gamerbrother,GamerBrother,178308
tubbolive,TubboLIVE,178243
handongsuk,한동숙,176989
werlyb,Werlyb,176563
rainbow6,Rainbow6,175748
silvername,SilverName,175473
